City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
273,Cayenne,GF,86.0,clear sky,4.93,-52.33,Hôtel Le Dronmi
275,Kahului,US,86.0,scattered clouds,20.89,-156.47,Maui Seaside Hotel
276,Tukrah,LY,79.07,clear sky,32.53,20.58,استراحة لاقروتا
277,Davila,PH,75.2,broken clouds,18.47,120.58,SITIO 3 DAVILA PASUQUIN
279,Trincomalee,LK,79.74,broken clouds,8.57,81.23,Welcombe Hotel
280,Bacong,PH,78.84,overcast clouds,9.25,123.3,Fish Unlimited Beach and Dive Resort
284,Lompoc,US,82.99,clear sky,34.64,-120.46,Holiday Inn Express Lompoc
287,Hamilton,US,80.01,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
292,Sokoni,TZ,77.0,few clouds,-6.43,39.55,Ujamaa Beach Resort
294,Nanchong,CN,75.38,moderate rain,30.8,106.08,Marine Una Century Hotel
297,Marzuq,YE,82.83,broken clouds,14.4,46.47,
302,Lufilufi,WS,86.0,broken clouds,-13.87,-171.6,Leuaina Beach Resort and Spa
304,Coahuayana,MX,82.4,broken clouds,18.73,-103.68,Hotel Los Arcos
307,Lebanon,US,84.2,few clouds,36.21,-86.29,Hampton Inn & Suites Lebanon
308,San Francisco,US,80.6,smoke,37.77,-122.42,The Clift Royal Sonesta Hotel
309,San Policarpo,PH,80.15,light rain,12.18,125.51,Zal-Ann Beach Resort
310,Portalegre,PT,78.01,clear sky,39.29,-7.43,Rossio Hotel
311,Jalu,LY,83.08,clear sky,29.03,21.55,Jalu Hotel
312,Palakkad,IN,77.0,broken clouds,10.78,76.65,Hotel Gazala family restaurant Palakkad
314,Gushikawa,JP,78.8,broken clouds,26.35,127.87,Kirari Guest House
319,Santa Isabel Do Rio Negro,BR,81.07,clear sky,-0.41,-65.02,Hotel GSA
320,Ambala,IN,77.0,thunderstorm with light rain,30.38,76.78,SPOT ON 47967 Akash Motel New Saver
327,Hazleton,US,87.01,clear sky,40.96,-75.97,Ramada by Wyndham Hazleton
328,Amberley,US,81.0,clear sky,39.2,-84.43,"Motel 6 Cincinnati, OH - Central - Norwood"
334,Torrevieja,ES,82.0,clear sky,37.98,-0.68,Hotel Fontana Plaza
337,Ibi,ES,81.0,clear sky,38.63,-0.57,Hotel Plata
340,Katsuura,JP,78.01,moderate rain,35.13,140.3,Katsuura Hotel Mikazuki
344,Kieta,PG,83.25,light rain,-6.22,155.63,
348,Gizo,SB,83.14,light rain,-8.1,156.84,Imagination Island
349,Sao Filipe,CV,79.07,scattered clouds,14.9,-24.5,Tortuga B&B
354,Sao Miguel Do Araguaia,BR,83.35,clear sky,-13.28,-50.16,Hotel Executivo Palace
355,Nalut,LY,80.82,clear sky,30.33,10.85,
357,Manokwari,ID,78.24,clear sky,-0.87,134.08,Swiss Belhotel Manokwari
359,Yen Bai,VN,76.87,overcast clouds,21.7,104.87,AK MOTEL
360,Bandarbeyla,SO,76.26,broken clouds,9.49,50.81,REER XOOSHLE GROUP
361,Freeport,US,84.99,clear sky,40.66,-73.58,The Freeport Inn and Marina
365,Hasaki,JP,77.0,thunderstorm with heavy rain,35.73,140.83,Inubosaki Kanko Hotel
367,Santa Rita,BR,75.2,few clouds,-7.11,-34.98,Infinity Motel
368,Ocala,US,84.0,thunderstorm with heavy rain,29.19,-82.14,Howard Johnson by Wyndham Ocala FL
373,Amapa,BR,80.56,broken clouds,1.0,-52.0,
374,Broome,US,84.0,scattered clouds,42.25,-75.83,Chenango Valley State Park
376,Fethiye,TR,75.2,clear sky,36.62,29.12,Club & Hotel Letoonia
