,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
146,Ifakara,TZ,-8.13,36.68,74.89,51,91,3.04,overcast clouds
147,Baruun-Urt,MN,46.68,113.28,53.38,95,64,6.8,broken clouds
148,Kushiro,JP,42.98,144.37,64.94,89,99,6.22,overcast clouds
149,Magadan,RU,59.57,150.8,47.7,54,100,8.21,overcast clouds
150,Brookhaven,US,31.58,-90.44,89.6,43,1,8.05,clear sky
151,Broken Hill,AU,-31.95,141.43,39.2,86,3,8.05,clear sky
152,Verkhoyansk,RU,67.54,133.38,39.67,73,81,2.73,broken clouds
153,Rosarito,MX,32.33,-117.03,87.8,55,5,12.75,clear sky
154,Shimanovsk,RU,52.0,127.7,59.99,92,0,3.71,clear sky
155,Najran,SA,17.49,44.13,86.0,23,3,3.62,clear sky
156,Grand Gaube,MU,-20.01,57.66,69.01,77,11,5.99,light rain
157,Half Moon Bay,US,37.46,-122.43,87.01,50,20,6.93,smoke
158,Abu Samrah,SY,35.3,37.18,71.46,67,0,6.58,clear sky
159,Coquimbo,CL,-29.95,-71.34,51.8,87,90,9.17,overcast clouds
160,Soe,ID,-9.86,124.28,62.49,65,0,4.65,clear sky
161,Avarua,CK,-21.21,-159.78,77.0,69,11,17.22,few clouds
162,Gravdal,NO,68.12,13.5,56.48,92,100,14.47,overcast clouds
163,Neryungri,RU,56.67,124.65,48.54,84,14,1.9,few clouds
164,Vologda,RU,59.22,39.89,58.33,90,48,4.79,scattered clouds
165,Merke,KZ,42.87,73.18,68.61,30,13,3.38,few clouds
166,Neiafu,TO,-18.65,-173.98,80.6,83,40,12.75,scattered clouds
167,Oskarshamn,SE,57.26,16.45,62.01,83,31,3.0,scattered clouds
168,Camacupa,AO,-12.02,17.48,69.39,43,80,1.19,broken clouds
169,Kaputa,ZM,-8.47,29.66,72.88,53,84,8.72,broken clouds
170,Saint-Philippe,RE,-21.36,55.77,69.8,59,35,5.82,scattered clouds
171,Padang,ID,-0.95,100.35,77.88,78,100,3.13,overcast clouds
172,Flinders,AU,-34.58,150.86,51.01,54,3,7.0,clear sky
173,Sarangani,PH,5.4,125.46,83.5,73,16,7.63,few clouds
174,Alto Araguaia,BR,-17.31,-53.22,61.84,66,16,10.18,few clouds
175,Khvorostyanka,RU,52.61,48.96,52.32,90,2,6.35,clear sky
176,Pitimbu,BR,-7.47,-34.81,75.2,88,20,8.05,few clouds
177,Bengkulu,ID,-3.8,102.27,75.16,87,64,3.96,broken clouds
178,Marathon,US,44.9,-89.77,71.6,78,40,11.41,scattered clouds
179,Hobyo,SO,5.35,48.53,75.81,81,94,23.2,overcast clouds
180,Riyadh,SA,24.69,46.72,96.8,13,44,6.93,scattered clouds
181,Vaitape,PF,-16.52,-151.75,77.99,77,5,22.3,clear sky
182,Thinadhoo,MV,0.53,72.93,82.78,76,34,6.64,light rain
183,Bethel,US,41.37,-73.41,91.0,38,1,9.17,clear sky
184,Sekondi,GH,4.94,-1.71,74.57,90,5,5.84,clear sky
185,Faya,SA,18.39,42.45,71.6,73,2,2.64,clear sky
186,Morehead,US,37.27,-87.18,86.0,100,90,5.93,moderate rain
187,Iqaluit,CA,63.75,-68.51,48.2,70,20,6.93,few clouds
188,Hermanus,ZA,-34.42,19.23,57.0,86,17,5.01,few clouds
189,Uvira,CD,-3.41,29.15,76.3,54,63,1.16,broken clouds
190,Tilichiki,RU,60.47,166.1,50.88,81,92,3.44,overcast clouds
191,Mfou,CM,3.72,11.64,73.4,94,40,4.7,scattered clouds
192,Harper,LR,4.38,-7.72,75.83,88,61,10.87,broken clouds
193,Beaverlodge,CA,55.22,-119.44,64.4,45,75,20.8,broken clouds
194,Gunnedah,AU,-30.98,150.25,41.0,80,90,17.22,overcast clouds
195,Shingu,JP,33.73,135.98,77.05,84,85,4.18,overcast clouds
196,Abha,SA,18.22,42.51,71.6,73,1,2.1,clear sky
197,Sitka,US,57.05,-135.33,60.8,77,40,5.82,scattered clouds
198,Provideniya,RU,64.38,-173.3,51.26,83,100,5.66,light rain
199,Maniitsoq,GL,65.42,-52.9,49.08,81,38,9.91,scattered clouds
200,Rawlins,US,41.79,-107.24,90.0,8,1,8.05,haze
201,Nanortalik,GL,60.14,-45.24,46.98,72,6,2.21,clear sky
202,Mahebourg,MU,-20.41,57.7,71.6,73,40,11.41,scattered clouds
203,Rognan,NO,67.1,15.39,57.99,95,100,2.73,light rain
204,Aykhal,RU,66.0,111.5,41.0,80,13,4.47,few clouds
205,Te Anau,NZ,-45.42,167.72,44.2,83,100,1.03,overcast clouds
