City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Upernavik,GL,2020-08-21 00:48:08,72.79,-56.15,45.05,70,100,0.65
70,Bull Savanna,JM,2020-08-21 00:45:29,17.89,-77.59,78.57,84,100,10.27
71,Severnyy,RU,2020-08-21 00:48:08,50.68,36.55,60.8,67,1,8.95
72,Dingle,PH,2020-08-21 00:44:42,11.0,122.67,83.05,79,100,5.39
73,Rantepao,ID,2020-08-21 00:48:08,-2.97,119.9,76.32,67,36,2.75
74,Antalaha,MG,2020-08-21 00:48:08,-14.9,50.28,68.0,91,55,5.32
75,Killin,US,2020-08-21 00:48:08,33.61,-91.74,84.2,54,1,3.36
76,Ugoofaaru,MV,2020-08-21 00:44:57,5.67,73.0,82.94,71,100,7.2
77,Manica,FR,2020-08-21 00:48:08,49.0,-1.17,68.0,77,21,12.75
78,Vestmannaeyjar,IS,2020-08-21 00:48:08,63.44,-20.27,49.14,79,100,7.83
79,Dulce Nombre De Culmi,HN,2020-08-21 00:48:08,15.1,-85.53,72.95,91,98,2.24
80,Hambantota,LK,2020-08-21 00:43:39,6.12,81.12,77.0,100,100,8.05
81,Bredasdorp,ZA,2020-08-21 00:48:09,-34.53,20.04,46.4,93,4,4.7
82,Turukhansk,RU,2020-08-21 00:43:57,65.82,87.98,58.17,83,0,7.92
83,Maarianhamina,AX,2020-08-21 00:48:09,60.1,19.93,66.2,93,75,5.82
84,Iqaluit,CA,2020-08-21 00:44:08,63.75,-68.51,46.4,87,75,2.68
85,Tasiilaq,GL,2020-08-21 00:48:09,65.61,-37.64,42.8,75,0,2.24
86,Hasaki,JP,2020-08-21 00:48:09,35.73,140.83,91.0,70,75,4.7
87,Bethel,US,2020-08-21 00:47:13,41.37,-73.41,66.2,68,1,5.82
88,Butaritari,KI,2020-08-21 00:48:09,3.07,172.79,82.92,74,100,11.34
89,Labuan,MY,2020-08-21 00:48:09,5.28,115.24,84.2,79,20,2.24
90,Kichera,RU,2020-08-21 00:48:09,55.94,110.1,63.46,63,18,0.92
91,Hue,VN,2020-08-21 00:48:09,16.47,107.6,80.6,83,20,3.36
92,Puerto Escondido,MX,2020-08-21 00:48:09,15.85,-97.07,84.2,62,75,1.28
93,Alice Springs,AU,2020-08-21 00:44:11,-23.7,133.88,64.4,23,0,7.09
94,Victoria,HK,2020-08-21 00:48:09,22.29,114.16,87.01,79,23,6.38
95,Verin,ES,2020-08-21 00:48:10,41.94,-7.44,51.01,63,78,1.25
96,Khatanga,RU,2020-08-21 00:48:10,71.97,102.5,50.47,52,0,15.9
97,Luena,AO,2020-08-21 00:48:10,-11.78,19.92,59.85,31,14,5.44
98,Sechura,PE,2020-08-21 00:48:10,-5.56,-80.82,63.64,75,100,15.14
99,Bilibino,RU,2020-08-21 00:48:10,68.05,166.44,43.2,84,100,4.45
100,Haines Junction,CA,2020-08-21 00:48:10,60.75,-137.51,54.39,74,100,2.91
